State,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.
Alabama,2.7,2.7,3.5,12.9,,,,,,,,
Alaska,6,5.8,5.6,12.9,,,,,,,,
Arizona,4.5,4.5,5.5,12.6,,,,,,,,
Arkansas,3.5,3.9,4.8,10.2,,,,,,,,
California,3.9,2.5,5.3,15.5,,,,,,,,
Colorado,2.5,2.8,4.5,11.3,,,,,,,,
Connecticut,3.7,3.9,3.7,7.9,,,,,,,,
Delaware,4,5.2,5.1,14.3,,,,,,,,
D.C.,5.2,2.8,6,11.1,,,,,,,,
Florida,2.8,3.1,4.3,12.9,,,,,,,,
Georgia,3.1,2.7,4.2,11.9,,,,,,,,
Hawaii,2.7,2.7,2.6,22.3,,,,,,,,
Idaho,2.8,3.4,2.6,11.5,,,,,,,,
Illinois,3.5,3.1,4.6,16.4,,,,,,,,
Indiana,3.1,2.8,3.2,16.9,,,,,,,,
Iowa,2.8,3.1,3.7,10.2,,,,,,,,
Kansas,3.1,4.2,3.1,11.2,,,,,,,,
Kentucky,4.3,5.2,5.8,15.4,,,,,,,,
Louisiana,5.1,3.2,6.1,14.5,,,,,,,,
Maine,3.1,3.3,3.2,10.6,,,,,,,,
Maryland,3.3,2.8,3.3,9.9,,,,,,,,
Massachusetts,2.8,3.6,2.9,15.1,,,,,,,,
Michigan,3.8,3.1,4.1,22.7,,,,,,,,
Minnesota,3.2,5.4,3.1,8.1,,,,,,,,
Mississippi,5.5,3.5,5.3,15.4,,,,,,,,
Missouri,3.5,3.5,4.5,9.7,,,,,,,,
Montana,3.5,2.9,3.5,11.3,,,,,,,,
Nebraska,3.9,3.6,4.2,8.2,,,,,,,,
Nevada,3.6,3.6,6.3,28.3,,,,,,,,
New Hampshire,2.6,3.8,2.6,16.3,,,,,,,,
New Jersey,3.8,4.8,3.8,15.3,,,,,,,,
New Mexico,4.8,3.7,5.9,11.3,,,,,,,,
New York,3.8,3.6,4.5,14.5,,,,,,,,
North Carolina,3.6,2.2,4.4,12.2,,,,,,,,
North Dakota,2.3,4.2,2.2,8.5,,,,,,,,
Ohio,4.1,3.2,5.5,16.8,,,,,,,,
Oklahoma,3.3,3.3,3.1,13.7,,,,,,,,
Oregon,3.3,4.7,3.3,14.2,,,,,,,,
Pennsylvania,4.7,3.4,6,15.1,,,,,,,,
Rhode Island,3.1,2.5,4.6,17,,,,,,,,
South Carolina,2.4,3.3,2.6,12.1,,,,,,,,
South Dakota,3.4,3.4,3.3,10.2,,,,,,,,
Tennessee,3.3,3.5,3.5,14.7,,,,,,,,
Texas,4.5,2.5,4.7,12.8,,,,,,,,
Utah,2.5,3.4,3.6,9.7,,,,,,,,
Vermont,2.4,2.6,3.2,15.6,,,,,,,,
Virginia,2.7,3.8,3.3,10.6,,,,,,,,
Washington,3.9,4.9,5.1,15.4,,,,,,,,
West Virginia,5,3.7,6.1,15.2,,,,,,,,
Wisconsin,3.5,2.7,3.4,14.1,,,,,,,,
Wyoming,3.7,5.8,3.7,9.2,,,,,,,,
Puerto Rico,8.9,4.5,,,,,,,,,,
