State,Rate (2020),,Over the month Chance
,April ,May,
Alabama,13.8,9.9,-3.9
Alaska,13.5,12.6,-0.9
Arizona,13.4,8.9,-4.5
Arkansas,10.8,9.5,-1.3
Colorado,12.2,10.2,-2
Connecticut,8.3,9.4,1.2
District of Columbia,11.7,8.9,-2.8
Florida,13.8,14.5,0.7
Georgia,12.6,9.7,-2.9
Hawaii,23.8,22.6,-1.2
Idaho,11.8,8.9,-2.9
Illinois,17.2,15.2,-2
Indiana,17.5,12.3,-5.2
Iowa,11,10,-1
Kansas,11.9,10,-1.9
Kentucky,16.6,11,-5.6
Louisiana,15.1,13.3,-1.1
Maine,10.4,9.3,-1.8
Michigan,24,21.2,-2.8
Minnesota,8.7,9.9,1.2
Mississippi,16.3,10.6,-5.7
Montana,11.9,9,-2.9
Nebraska,8.7,5.2,-3.5
Nevada,30.1,25.3,-4.8
New Hampshire,17.1,14.5,-2.6
New Jersey,16.3,15.2,-1.1
New Mexico,11.9,9.2,-2.7
New York,15.3,14.5,-0.8
Ohio,17.6,13.7,-3.9
Oklahoma,14.7,12.6,-2.1
Pennsylvania,16.1,13.1,-3
Rhode Island,18.1,16.3,-1.8
South Dakota,10.9,9.4,-1.5
Tennessse,15.5,11.3,-4.2
Texas,13.5,13,-0.5
Utah,10.4,8.5,-1.9
Vermont,16.5,12.7,-3.8
Virginia,11.2,9.4,-1.8
Washington,16.3,15.1,-1.2
West Virginia,15.9,12.9,-3
Wisconsin,13.6,12,-1.6
Wyoming,9.6,8.8,-0.8
